name, lat, lon, imgurl, other
Borneo Traditional Mural,-2.502719,112.976864,http://lh3.ggpht.com/qu4V2nESeFts_32dyOuf-Q5hVFjqnb44IaQ6e__EjSVsMr8y05N4wUh_YUBjJYK7NpJMiHbjg6C3HpOlV8sx,b8a3e25c3fe2442d9e6ecefa0acc1dee.16
Talawang Shield of Dayak,-2.5029,112.976436,http://lh5.ggpht.com/hP734YSRF02xxIH91b98OaFBv6ecI-dmM9Bhmo2VqDEzlsgtczWh0_naufunHQtqLTwhi3wrftCSdCOaVZq1,2217675b69d3479583bc869a7a2fc42f.16
H. Asan Airport Sampit,-2.503079,112.976666,http://lh4.ggpht.com/2ddIoaSkHZh1ik1UvXaLr5J6YBc6PTfGHS8mZ8Ae3agttteseic_Mnw8iSYqtiZJDMs3bU8F4tAIOQS3Xbke,5bbc3882d0e14857aa45668286053175.16
Langgar Al Barkah,-2.528941,112.964182,http://lh5.ggpht.com/ZYBCb7POeyG6wVAuQsitVyD-aMXHvwfacCYc4c7SL8SBsceOEE6gDSO56PRtQYuDqRmoJntDHfeB9xZngUE,8e2dfb69d3fe4580bd28d8e0df927b39.16
Kubah Masjid Via,-2.523638,112.965921,http://lh3.ggpht.com/ZDNYWCbD_qn76mxj0OAPit-aIq7peU2l6_8en1Kt575QmoBpKUod8E8nWD0iZBHM9fZFAH_9MmJjnRVjg5UA,0bb1d7e28c2e4b2680eae2df7ce3b2e3.16
Langgar Nurul Hikam,-2.526472,112.965049,http://lh5.ggpht.com/x8FPDJACR2Muegu4_oWXplNHuG4TlXqSmY6VV-akDThB6whcu4LQ-fpa9j9oFGANttAhLikbVlLFGX4AAf9v5A,2e24ea79bfb54e408cc9cf7a122c9ed4.16
Masjid An-nur,-2.526919,112.963704,http://lh6.ggpht.com/f7ABzutM9ulfY9TFZUAHaPTAo5YAO-NxkP8VCZwP0wb7oyQ2cQsfd_ji2OvzigH6tyikZAUKzdkKO5C0T34,0b3116ce990c439b9e77597420d8fd03.16
Masjid Nurul Anwar,-2.529552,112.956761,http://lh4.ggpht.com/rdDBHjkP77fBnUedYNg6rIScBj3drEtdnq1YIFL0kdhv6kfBgq7gu9iEJDeYDmkRMSfNNHSNjlIFkj4-nD9O,6bc98dba970743808121dfd34350bcfd.16
Masjid Samping Pdam,-2.526573,112.96114,http://lh4.ggpht.com/LxqMLj8uAfPdGC-n53de8r0pFE7KFhBOcdC8WVwAW13zD5OihJyZxlQbBHW2bwZqq5l-0IwNSZY5-r62jWNB,3e850521183749c1904f35ca3cf6df45.16
Mosque,-2.529775,112.95037,http://lh3.googleusercontent.com/NyVyU_x0oDkcLHOwi1Lik0KmSAsdx9eFW2xLCJO2V0GAtqbnlWg-4Q47IEqmRsSP3izUPKnX51ZZQk5jB8Arvg,5d65232fcc3b45e5b4010c83584514bc.16
Mesjid Stkip,-2.530342,112.956016,http://lh4.ggpht.com/MHKgAkbaVuiZ8ODOFQ9SRSFmP1t-xXXxWTbpSDx79HAzHf0AXkaCQCfZ_c1TPd8M0CKtDEwrTGszZk43Q5k,2563f1affbd34685ab1a699dad18c517.16
LDII Sampit,-2.516553,112.948401,http://lh6.ggpht.com/YIp9o_OXA7sJpDD2syxMa0K9WH34xoTWQ4BOJZfAadpOzdwajWfhSR8vrEKnWstEof2MjCD4uk1F_JizJ44,8f6f0e44d87c4404b9d82d0ce3a2ed89.16
Bundaran Adipura,-2.497875,112.968563,http://lh6.ggpht.com/dMYHH2vOmr-Kk1uYCTX0VFfTgg38WwpoiGRg_5qL3v8qSB0PtFvG7KfE8p6yAtlRKbh90dd_APW6myIRwEk,a03cbfeb3ab641fda5c794d7aab6e63d.16
Al Hikmah Mosque,-2.500565,112.972443,http://lh6.ggpht.com/HlsJ86N1ow54nifVTzo3z43P5069XHVc7bltyFhRt83n_Gez_RIeK733b9LgP8HfR6pXT4la8F_PGjCe3vph,0cc3e6cb86034e4faef47ae3092dc3a8.16
Dinkes Sampit,-2.506129,112.959702,http://lh3.googleusercontent.com/-MzxIwdLXH-3ihQahda2DCahSF7FWYrJnWIclgd2kCGnJuTwZFcRShEKfq47_rq6RJeGb0KGTzMzQR_t7gPu,4094657f0c60448b905a4fdd3b695992.16
Langgar Nurul Falah,-2.510958,112.973533,http://lh3.ggpht.com/4HnvKcxLWou_3DS3KoCCPRWuZ_NGG3zldau4ctUvqujeG0p8Yi6E8OoY7RquUX346Nq3Uqzw3lTryPIVk-cm,1104207ac15b4458ab4519e295fcd410.16
Air Mancur Higa Wella,-2.516326,112.951117,http://lh6.ggpht.com/UTSOSAMWdyewFOjvaERvKPvYNKj0NXJjrTpA3SQxIkYaH8fdwVmiBLADMi8ZMABwaR9iZrepKF2RiynNcINQ,5e70cd32a1c74491b60588b59fb0a73e.16
Tingang Bird Statue,-2.51593,112.951392,http://lh3.googleusercontent.com/JOKXoAQP4DrYE7dxymhITwmsewije0vwHua0ozfkNDR9L74iRQ9G8KVIG27waIIJaekLtGGG5XjLFp7If3Vk,7b15c8f941c94f5fad8723d839458f2a.16
Gerbang Stadion 28 Nopember,-2.513089,112.952765,http://lh4.ggpht.com/-tCAvUoe0qCRcVMfnYl-WU9oQgGkLbAmULuLhYtIuvc04i87v6qRw5l8NoHX_-aBHC3nk1cwpSCv0ZtYPA,e7e24319189943a29e3eb345070680f8.16
Mesjid Al-Kamal,-2.517967,112.957288,http://lh3.ggpht.com/mrTQbxwlWzKjABi_hrzVleehLSBAt0XGcoTVvSQP9nh-BZWNrZM3fDoc6DXIYtAesoeeo2W19wxkD47SGHo,87eab3031628477ea7122b0d470f06c8.16
